FREQ;GEO;UNIT;LMP_TYPE;EXPTYPE\TIME_PERIOD,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;PT;MIO_EUR;TOT8_9;XTOT,: ,817.912 ,919.810 e,1007.240 ,1261.814 ,1279.141 ,1651.693 ,1784.832 ,1966.580 ,1913.521 ,1926.472 b,1915.696 ,2403.856 ,2585.422 ,2418.520 ,2847.755 ,2945.901 ,2690.009 ,2443.191 ,2229.745 ,2019.928 ,1956.279 
A;RO;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,275.328 ,296.859 ,313.952 ,270.819 ,283.708 ,242.515 ,449.610 ,679.610 ,324.265 ,215.211 ,216.900 ,197.791 ,173.435 ,110.270 ,85.544 ,73.313 
A;RO;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;RO;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,275.328 ,296.859 ,313.952 ,270.819 ,283.708 ,242.515 ,449.610 ,679.610 ,324.265 ,215.211 ,216.900 ,197.791 ,173.435 ,110.270 ,85.544 ,73.313 
A;SE;MIO_EUR;8;XTOT,: ,3780.549 e,3747.147 e,3464.724 ,2762.534 ,2957.417 ,3577.519 ,4047.401 ,3820.650 ,3374.296 ,2489.999 ,1920.402 e,2673.752 e,2791.933 e,2433.295 e,2675.423 e,2954.457 e,2654.982 e,2464.970 e,2564.792 e,2508.547 e,2170.510 e
A;SE;MIO_EUR;9;XTOT,: ,251.237 ,213.341 ,155.591 ,83.738 ,30.237 ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;SE;MIO_EUR;TOT8_9;XTOT,: ,4031.786 e,3960.488 e,3620.315 ,2846.272 ,2987.653 ,3577.519 ,4047.401 ,3820.650 ,3374.296 ,2489.999 ,1920.402 e,2673.752 e,2791.933 e,2433.295 e,2675.423 e,2954.457 e,2654.982 e,2464.970 e,2564.792 e,2508.547 e,2170.510 e
A;SI;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,116.619 ,121.040 ,104.166 ,100.376 ,230.428 ,251.213 ,335.078 ,308.637 ,299.126 ,236.183 ,202.965 ,199.533 ,186.039 ,173.853 
A;SI;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;SI;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,116.619 ,121.040 ,104.166 ,100.376 ,230.428 ,251.213 ,335.078 ,308.637 ,299.126 ,236.183 ,202.965 ,199.533 ,186.039 ,173.853 
A;SK;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,101.377 ,66.298 ,53.847 ,55.274 ,68.644 ,182.301 ,158.917 ,170.222 ,182.447 ,179.434 ,159.848 ,162.513 ,174.819 ,169.944 ,186.576 
A;SK;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,13.113 ,36.115 ,97.034 ,144.295 ,210.757 ,240.230 ,239.848 ,172.515 ,128.032 ,117.644 ,102.890 ,101.885 ,104.576 ,111.317 ,93.768 
A;SK;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,114.490 ,102.413 ,150.881 ,199.568 ,279.402 ,422.531 ,398.765 ,342.737 ,310.478 ,297.078 ,262.738 ,264.398 ,279.396 ,281.260 ,280.344 
A;UK;MIO_EUR;8;XTOT,: ,5514.803 ,5166.550 ,4926.672 ,4373.896 ,4336.525 ,3842.254 ,3372.976 ,3494.054 ,3689.942 ,3374.267 ,3706.971 ,5439.206 ,5307.432 ,: ,: ,: ,: ,: ,: ,: ,: 
A;UK;MIO_EUR;9;XTOT,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: ,: ,: ,: ,: ,: ,: 
A;UK;MIO_EUR;TOT8_9;XTOT,: ,5514.803 ,5166.550 ,4926.672 ,4373.896 ,4336.525 ,3842.254 ,3372.976 ,3494.054 ,3689.942 ,3374.267 ,3706.971 ,5439.206 ,5307.432 ,: ,: ,: ,: ,: ,: ,: ,: 
